"list.price","beds","baths","sqft","lot.size","year.built","parking.spots","parking.type","original.list.price","last.sale.price"
250,4,2,1414,6970,1976,2,"Garage",180,250
259.9,3,2,1250,29908,1958,2,"Garage",269.9,260
179.999,3,2,1143,6534,1956,2,"Garage",179.999,211
215,3,2,997,6970,1954,1,"Garage",219,215
190,3,2,989,6543,1955,0,"Other",179.9,204
160,2,1.5,1466,10890,1955,2,"Garage",155,160
235,3,1.5,1300,6534,1954,1,"Garage",245,240
299.9,4,2,1595,7841,1981,2,"Garage",299.9,310
250,3,1.75,1473,10454,1954,4,"Garage",250,265
199,3,1,1044,6534,1956,2,"Garage",199,210
624,4,3.5,3488,166399,1976,2,"Garage",649,615
240,3,2,1105,6534,1976,4,"Garage",240,242.5
220,4,2,1568,11326,1978,2,"Garage",220,248
300,4,2,1900,28314,1912,2,"Garage",300,325
979.9,5,6.5,6215,23522,2007,12,"Garage",979.9,979.9
395,4,2.75,3443,23958,1958,2,"Garage",425,395
315,4,3,1896,7405,1989,3,"Garage",315,300
412.3,4,3.5,3425,21780,1987,6,"Garage",412.3,415
239.9,3,1,1086,7405,1946,1,"Garage",259,234.9
499.9,3,2,2600,43996,1972,30,"Garage",499.9,499.9
279.5,3,2,1536,6534,1977,4,"Garage",279.5,284
125,1,1,808,6970,1950,0,"Other",125,125
285,3,2,1785,9583,1948,2,"Garage",285,289
233,3,2,1110,6970,1978,2,"Garage",233,240
249.9,3,2,1000,6970,1976,2,"Garage",259.9,249.9
245,4,2.5,1540,2178,2005,2,"Garage",245,250
150,3,2,1188,9148,1959,2,"Garage",150,150
299,4,2,1398,7841,1970,5,"Garage",299,289
237,3,1.5,1327,13068,1953,2,"Garage",237,237
229,4,2,1352,6534,1959,2,"Garage",229,225
165,2,1,806,7841,1948,1,"Garage",165,158
155,2,1,927,3049,1927,0,"Other",155,153
229.9,3,1,876,8712,1953,2,"Garage",240,232
189.9,2,1,990,7405,1953,1,"Garage",189.9,212
269.9,4,2,1380,8276,1978,2,"Garage",269.9,269.9
209.9,2,2.5,1191,3049,2005,1,"Garage",209.9,215
150,3,1,848,6970,1952,4,"Other",150,140
239.9,3,1,1058,6970,1955,2,"Garage",239.9,241
229.9,3,2,1260,6534,1960,4,"Garage",229.9,225
199.9,3,1,1103,11761,1954,2,"Garage",199.9,176
259.9,3,1.75,1232,6970,1960,2,"Garage",259.9,260
295,4,2,1745,6970,1956,2,"Garage",295,285
181,4,2,1305,6534,1955,2,"Garage",181,181.45
178,3,1,996,6098,1927,2,"Garage",178,178
205,4,1.75,1487,6534,1955,2,"Garage",205,218
259,3,2,1254,9583,1957,2,"Garage",259,255
899.9,4,3.5,3867,51836,2004,4,"Garage",899.9,860
230,4,2,1253,6970,1956,2,"Garage",250,235
199,3,1.75,1623,9148,1959,2,"Garage",199,195
249.999,4,2,1338,7405,1964,2,"Garage",249.999,267
1799,4,4.25,4500,470448,2004,4,"Garage",1999,1680
219.9,2,2,1054,4356,1984,2,"Garage",249.9,220
289,3,1.75,1356,7841,1978,2,"Garage",289,270
348.5,4,3,1550,6534,1977,2,"Garage",350,340
285,3,2,1408,7405,1985,2,"Garage",285,290
243,3,2,1259,7405,1960,2,"Garage",239.9,243
209,3,2,1008,7405,1960,2,"Garage",209,215
176,3,1.5,1440,7841,1954,2,"Other",176,185
285,3,2,1736,6534,1976,2,"Garage",279,276
269,3,2,1652,6970,1958,4,"Garage",269,269
240,3,2,1385,6970,1960,4,"Garage",240,250
385,4,2,1947,13939,1963,0,"Other",385,370
130,2,1,864,8276,1948,2,"Garage",115,156.2
247.99,3,2,1041,13504,1951,2,"Garage",247.99,245
236,3,2,1552,10019,1947,2,"Garage",236,244.6
259.9,2,1,969,8276,1948,2,"Garage",259.9,250
233,3,2,1382,6970,1956,2,"Garage",233,230
