X,zip,list.price,beds,baths,sqft,lot.size,year.built,parking.spots,parking.type,original.list.price,last.sale.price
167,92505,339.9,4,2.5,2175,7405,1968,2,Garage,339.9,350
168,92505,359,4,2.25,1893,11326,1987,3,Garage,379.9,330
169,92505,415,5,4,3789,7841,2003,3,Garage,415,415
171,92505,285,4,2,1578,6970,1976,2,Garage,285,285
172,92505,423.5,4,3,2706,7841,2002,3,Garage,430,400
173,92503,219.9,3,2,1367,6534,1959,2,Garage,266.4,205
174,92503,259.9,6,3,1866,7841,1979,1,Garage,259.9,243
175,92503,250,3,2,1572,7841,1977,2,Garage,250,250
176,92505,399.9,5,4,2995,4792,2003,3,Garage,399.9,400
177,92505,209.888,3,1.75,1125,6970,1959,2,Garage,209.888,203
178,92505,180,3,2,1589,7405,1959,2,Garage,180,205
179,92505,210,3,2,1202,7405,1959,1,Garage,199.9,210
180,92503,275,3,2,1240,6534,1984,2,Garage,275,268
181,92503,269.9,4,2.5,1957,3485,2004,2,Garage,269.9,270
182,92503,176,4,2.5,1957,3920,2004,2,Garage,176,210
183,92505,269.9,4,2,1436,6970,1959,2,Garage,269.9,272
184,92503,279,4,2,1569,7405,1973,6,Garage,279,285
185,92503,249.9,3,2,1000,6534,1976,2,Garage,235,249.9
186,92505,335,3,2.5,1741,3800,2003,2,Garage,335,330
187,92505,274.9,4,2,1534,6970,1959,2,Garage,274.9,290
188,92503,220,3,2.5,1640,8276,1987,1,Garage,220,217.8
190,92505,294.9,4,2,1748,9583,1978,2,Garage,284.9,300
191,92506,799.9,4,3.5,3509,54450,2009,3,Garage,799.9,790
192,92506,949,5,5,5351,30928,1996,3,Garage,1100,889
193,92503,259.9,3,2,1730,6534,1983,2,Garage,259.9,280
195,92505,215,3,2,1152,5663,1986,2,Garage,215,235
196,92505,409,4,3,2706,8276,2002,3,Garage,409,409
197,92503,224.9,3,2,1000,6970,1976,2,Garage,224.9,225
198,92505,295,3,2,1427,7841,1987,2,Garage,295,285
200,92505,228.15,3,2,1000,10454,1979,2,Garage,228.15,250
201,92532,250,4,2.5,2710,7841,2008,2,Garage,250,250
202,92532,175,3,2,2270,7405,2008,2,Garage,175,175
206,92505,315,3,2.5,2069,4792,2002,2,Garage,290,315
207,92506,849.8,4,3.5,3642,23522,2003,4,Garage,849.8,850
208,92503,259.9,3,2,1730,26136,1984,2,Garage,259.9,270
209,92505,310,4,2.5,2069,3920,2001,2,Garage,310,340
210,92506,819.9,5,4.5,3867,26136,2004,4,Garage,850,775
211,92506,450,4,2,1865,24829,1976,2,Garage,495,435
212,92503,239,3,2,1278,6970,1958,2,Garage,239,255.1
213,92503,275,4,2,1300,7841,1959,2,Garage,275,270
214,92503,219.9,3,2,1062,10890,1952,0,Other,219.9,219.9
215,92503,199.999,3,1.5,1014,8712,1957,2,Garage,192.777,215
217,92505,319,4,2.5,1907,10454,1989,2,Garage,319,330
219,92504,199.9,4,2,1428,6970,1960,4,Garage,199.9,202
220,92503,235,3,1.5,1379,7405,1956,2,Garage,215,235
221,92505,320,4,2,1992,15246,2007,2,Garage,320,320
222,92503,214.999,3,1,1058,7405,1951,2,Garage,185,212
223,92504,210,3,2,1234,6970,1956,2,Garage,210,210
224,92504,255,3,1.75,1166,6534,1957,2,Garage,249.99,255
225,92504,235,4,2,1254,6970,1957,2,Garage,225,255
226,92506,361,3,1.75,1659,13068,1956,2,Garage,355,355
227,92504,179,3,1.75,1266,7841,1953,2,Garage,179,180
228,92506,219,3,1,1260,6534,1952,2,Garage,219,229
229,92504,200,3,1,1070,10019,1948,1,Garage,220,200
230,92506,94.8,3,1,986,8712,1951,1,Garage,94.8,115
231,92504,229,3,2,1339,8712,1953,4,Other,239,240
232,92506,289.9,4,2,1278,7841,1954,1,Garage,289.9,265
233,92504,279.9,3,2,1496,7405,1954,6,Garage,279.9,278
234,92504,215,3,2,1200,8712,1953,2,Garage,215,210
235,92504,209.9,2,1,912,6534,1948,1,Garage,199.9,210
236,92506,235,3,1.75,1300,6534,1954,1,Garage,235,225
237,92506,835,3,3.5,4326,29185,1977,4,Garage,835,775
239,92506,265,4,2,1400,6534,1953,1,Garage,265,265
240,92504,199.5,3,1,1035,6970,1948,1,Garage,199.5,185
241,92505,299.9,4,3,1806,20473,1991,3,Garage,299.9,338
242,92506,224.8,2,1,1272,6970,1951,2,Other,224.8,238
246,92504,199,3,2,1307,7841,1956,2,Garage,199,200
247,92504,219,3,2.5,1360,2178,2000,1,Garage,219,235
248,92506,699.999,5,4,3968,31799,1986,4,Garage,699.999,663
249,92504,175,3,1,1040,6970,1939,1,Other,175,175
250,92504,210,4,2,1248,7841,1972,2,Garage,210,171.555
251,92505,220,2,1,1300,19166,1954,2,Garage,245,227
253,92503,239,3,1.75,1294,12197,1953,2,Garage,239,252
254,92505,225,3,2,1377,17860,1963,2,Garage,225,235
255,92503,225,3,1,1076,10019,1927,1,Garage,225,225
256,92503,220,3,1,1139,7405,1953,2,Garage,220,220
259,92503,220,4,2,1104,7405,1954,2,Garage,220,236
260,92505,170,3,1,1058,5663,1955,2,Garage,170,177
261,92505,150,3,2,1430,13068,1952,4,Garage,150,172
262,92503,259.9,3,2,1355,47045,1959,2,Garage,249.9,250
263,92503,239,4,2,1404,6534,1959,2,Garage,239,235.555
264,92503,244.111,4,2,1500,6534,1978,2,Garage,244.111,250
265,92504,159.9,3,1.5,1026,7405,1972,2,Garage,159.9,160
268,92504,219.5,3,1.5,1047,8276,1953,4,Garage,219.5,225
269,92504,259.9,3,2,1626,7405,1958,2,Garage,259.9,265
270,92504,179.9,3,2,1149,6534,1959,2,Garage,179.9,187
271,92506,349.9,3,2,1923,14375,1922,8,Garage,349.9,350
272,92504,233.5,3,1,1058,7405,1950,7,Garage,224.9,233.5
273,92506,878.9,5,4.25,4176,24829,1998,4,Garage,899,859
274,92506,339,4,2,1491,11326,1975,2,Garage,339,320
275,92506,250,4,2,1568,8276,1978,2,Garage,250,255
276,92505,276,4,2.5,2732,4792,2002,2,Garage,276,276
277,92503,289.9,3,2,1528,14810,1944,2,Garage,289.9,300
278,92584,339.9,4,3,2204,7405,2011,6,Garage,349.9,336
279,92504,220,3,2,1201,19166,1977,2,Garage,207.9,201
280,92505,375,5,3,2703,5227,2002,3,Garage,375,380
281,92503,209.9,2,1,966,6970,1944,1,Garage,189.9,205
282,92503,244.9,4,2.5,1540,1742,2005,2,Garage,244.9,250
283,92503,179.9,3,2,1058,7405,1959,2,Garage,179.9,180
284,92505,140,2,1,1092,69696,1930,2,Garage,140,190
285,92504,229.9,2,1,896,6534,1950,1,Garage,229.9,225
287,92504,230,3,2.25,1438,7841,1953,2,Garage,230,220
288,92503,220,3,2,1037,6534,1957,2,Garage,220,220
289,92504,229,3,2,1402,6534,1950,1,Garage,229,227
290,92504,219,3,2,1195,7405,1951,2,Garage,229,219
292,92505,235.9,3,1,1451,8712,1955,2,Garage,239.9,236
293,92505,269.9,3,2,1403,7841,1983,2,Garage,264.9,269.9
294,92503,305,3,2,1712,10454,1956,2,Garage,305,315
295,92503,249.9,4,2,1296,6534,1955,2,Garage,249.9,250
296,92503,219.9,3,1.5,997,6534,1954,4,Garage,219.9,220
297,92505,192.5,3,2.5,1456,8276,1982,2,Garage,192.5,255
299,92504,239.9,3,1,1202,7405,1948,2,Garage,251.85,235
300,92505,269.9,3,2,1700,10890,1963,2,Garage,269.9,270
301,92504,248,3,2,1382,6970,1956,4,Garage,248,250
302,92504,289.9,4,2,1720,6534,1976,2,Garage,324.9,280
304,92504,175,4,2,1650,6970,1954,2,Garage,175,175
305,92505,190,2,1,888,2614,1924,1,Garage,190,181
306,92503,240,4,2.5,1706,2178,2005,2,Garage,240,250
